,avg_rss12_1_mean,avg_rss12_1_std,avg_rss12_1_max,var_rss12_1_mean,var_rss12_1_std,var_rss12_1_max,var_rss23_1_mean,var_rss23_1_std,var_rss23_1_max,avg_rss12_2_mean,avg_rss12_2_std,avg_rss12_2_max,var_rss12_2_mean,var_rss12_2_std,var_rss12_2_max,var_rss23_2_mean,var_rss23_2_std,var_rss23_2_max
ly_5,39.810375,0.3192188835371345,41.0,0.6838333333333332,0.2198256567972261,1.0,0.5052499999999996,0.6214175487339219,3.11,39.525291666666675,0.12082318045163848,40.0,0.48337499999999983,0.08593970470736025,0.83,0.7666250000000004,0.5669103160865534,3.49
ly_6,39.58358333333334,0.18816353535967514,40.67,0.5092499999999994,0.12461597914960268,0.94,0.6042083333333333,0.43269346935675923,2.12,39.428791666666676,2.5637836102000233,40.5,0.4837083333333332,0.16309249350151378,1.0,0.6416250000000001,0.5575794453404007,3.19
ly_7,39.52725000000001,0.1387117205667723,40.0,0.4742499999999998,0.09607060252468504,1.0,0.5225000000000001,0.3215645591329629,1.87,39.340333333333334,0.22448055644788564,40.0,0.36995833333333356,0.19198914264251524,0.5,0.6429166666666671,0.5240059660354308,4.06
ly_8,39.313125,0.24358683252400953,40.0,0.33200000000000024,0.21273119345656874,0.5,0.6814166666666668,0.44342768314721964,3.5,39.38108333333333,0.21369941676393026,40.0,0.4007916666666669,0.17092842201716318,0.5,0.49549999999999983,0.38126271156530045,2.05
ly_9,42.99641666666666,3.27843283201451,56.25,0.36358333333333387,0.4053631995759265,4.33,0.8890416666666675,0.9025210612717308,5.72,51.65383333333333,4.77933683243607,54.0,0.18504166666666663,0.6740385981006024,8.49,0.643291666666667,0.4533672234081427,3.56
ly_10,27.36841666666667,1.2957248635018128,29.75,0.3080416666666666,0.42173867845026536,1.79,0.6697083333333341,0.6163799010002218,4.5,28.064333333333334,1.4989420164765261,30.0,0.41933333333333367,0.3582330728019026,1.48,0.801083333333334,0.6034167649226191,3.3
ly_11,48.001041666666666,0.01613743060919757,48.25,0.0017916666666666667,0.027756380647819826,0.43,0.6701250000000004,0.43738810284512775,2.5,48.00729166666667,0.0421562933420422,48.25,0.012541666666666668,0.07250882454831258,0.43,0.6123333333333337,0.33062318065611873,1.3
ly_12,39.810375,0.3192188835371345,41.0,0.6838333333333332,0.2198256567972261,1.0,0.5052499999999996,0.6214175487339219,3.11,39.525291666666675,0.12082318045163848,40.0,0.48337499999999983,0.08593970470736025,0.83,0.7666250000000004,0.5669103160865534,3.49
ly_13,39.52725000000001,0.1387117205667723,40.0,0.4742499999999998,0.09607060252468504,1.0,0.5225000000000001,0.3215645591329629,1.87,39.340333333333334,0.22448055644788564,40.0,0.36995833333333356,0.19198914264251524,0.5,0.6429166666666671,0.5240059660354308,4.06
ly_14,42.99641666666666,3.27843283201451,56.25,0.36358333333333387,0.4053631995759265,4.33,0.8890416666666675,0.9025210612717308,5.72,51.65383333333333,4.77933683243607,54.0,0.18504166666666663,0.6740385981006024,8.49,0.643291666666667,0.4533672234081427,3.56
ly_15,27.36841666666667,1.2957248635018128,29.75,0.3080416666666666,0.42173867845026536,1.79,0.6674583333333342,0.6178392283306041,4.5,28.064333333333334,1.4989420164765261,30.0,0.41933333333333367,0.3582330728019026,1.48,0.801083333333334,0.6034167649226191,3.3
sit_4,44.858,0.46346719517586593,46.0,0.10933333333333331,0.22413098879777898,0.83,0.6725000000000008,0.5478344587028633,3.39,44.64991666666666,0.5532029156013603,45.67,0.19849999999999987,0.2828860527287472,1.12,0.8556666666666671,0.731612231623861,4.3
sit_5,40.017041666666664,5.609640536064969,45.75,0.4063333333333334,0.9956045099871896,12.19,0.8706250000000011,0.8019260450934135,6.26,33.10308333333333,3.827961275196915,39.0,0.4380000000000003,0.4536538779776772,1.64,0.8390416666666685,0.6232781456077122,3.54
sit_6,30.470458333333333,1.3475588491094193,37.5,0.11774999999999997,0.2872593407885851,1.79,0.8187083333333345,0.815207188242904,5.12,35.341499999999996,3.302010709860513,38.67,0.7957500000000006,0.5181390299845254,2.49,0.7640000000000007,0.6918139397241523,4.92
sit_7,36.19279166666667,1.0159276108023232,37.33,0.49799999999999967,0.40563107503944607,1.5,0.684083333333334,0.563391546677356,4.52,41.583958333333335,3.3123604823122563,50.75,0.2688749999999999,0.5368652084946919,6.06,0.9963333333333343,0.8734430818858665,5.17
sit_8,43.26995833333333,0.8385854287245726,45.0,0.4422083333333333,0.22676670022721301,1.0,0.9140833333333347,0.9252062946106504,6.36,42.372133891213394,0.6968494879732459,45.0,0.22870292887029273,0.24812488306582164,1.12,0.7976987447698752,0.5552803603693032,3.19
sit_9,44.13033333333333,0.8679817722989565,46.5,0.4499583333333334,0.20454766488669543,1.5,0.8219166666666679,0.7367562012901343,5.45,42.251375,0.7126086388584759,44.67,0.08258333333333331,0.19551025755424195,1.09,0.7905416666666675,0.5401093550489902,3.0
sit_10,42.53770833333333,1.6844872325875169,48.5,0.4275,0.4409892834493314,2.95,1.081416666666668,0.9580055081762086,5.89,37.90083333333334,1.1946555206879441,46.25,0.8074583333333346,0.45308588406648287,3.28,1.0340416666666683,1.0911223724813948,6.36
sit_11,45.315000000000005,2.2059814085561555,47.33,0.48229166666666684,0.3285522928474034,2.95,1.3420000000000019,1.2069093971326224,7.0,42.45466666666667,3.3962384886352686,48.25,0.5524166666666666,0.44811552573778646,3.28,1.367833333333334,1.0943676138291223,6.55
sit_12,42.03183333333334,0.7602597919037255,44.67,0.17354166666666662,0.2669938772223029,1.0,1.0627916666666684,1.0176073948100548,6.36,42.19133333333333,1.3904557714795278,45.0,0.5103333333333333,0.2170935179524242,1.09,0.8595416666666671,0.711063348881612,4.5
sit_13,41.49491666666667,0.3437633121550666,42.0,0.4706249999999998,0.170789530731633,1.0,0.9982916666666678,0.9612613740388041,7.85,43.07041666666667,1.523649766932465,44.75,0.5260833333333332,0.11479139408599628,0.94,0.7397083333333342,0.5537059609067376,4.32
sit_14,41.587625,0.33905570474555047,42.0,0.41608333333333386,0.23499593456230047,1.0,0.7980416666666674,0.5428707960329927,3.34,43.13275,0.8722163971828577,44.67,0.5489166666666667,0.23997139241402718,1.0,0.6415833333333338,0.6597026030017253,4.64
sit_15,42.706375,1.9583420387651862,46.0,0.6097083333333333,0.49135743827466183,4.72,0.8930833333333346,0.9128820477990915,5.1,42.751333333333335,2.1346183978227984,45.0,0.5009583333333334,0.21429342476331892,1.48,0.891083333333334,0.7865578799210076,4.03
stand_4,41.371,2.072145776038648,44.5,0.5126250000000001,0.38506232854165956,2.55,0.8779166666666673,0.6754299988918679,4.44,43.92604166666667,1.9818504302705968,46.67,0.2930416666666666,0.41298930448698185,2.95,0.9567916666666678,0.7415855161439792,4.64
stand_5,44.11629166666667,1.9358425015287903,46.75,0.31333333333333335,0.34774668155537514,1.79,0.9256250000000011,0.7583551520302859,6.18,43.32375,2.7071812333357936,47.5,0.42008333333333336,0.39225343151179104,1.92,1.1537500000000018,1.0405792259712916,5.72
stand_6,44.29629166666666,1.9144712059095064,46.33,0.25591666666666657,0.40575771535539945,2.12,0.9653750000000018,0.7364177862176747,4.32,44.646,1.6032570927456802,47.75,0.3250416666666667,0.3773204335226171,2.18,0.8893750000000016,0.7756115315723126,4.32
stand_7,45.059999999999995,1.3091442156637507,47.0,0.4172500000000002,0.4917162540296875,4.5,0.8543333333333348,0.5038624593713426,3.0,47.389875,1.2987017918453283,48.0,0.20745833333333322,0.4106294259466534,3.35,0.9108333333333342,0.7999807354723721,6.0
stand_8,47.50716666666667,0.5566361661609676,48.0,0.4288333333333336,0.24259125301430684,2.59,1.0795000000000015,0.9146285342413807,6.58,46.35724999999999,2.399502550434102,48.0,0.4305000000000001,0.45987236723058145,4.6,0.9027500000000013,0.783585218708904,5.46
stand_9,46.01379166666666,0.5607617711176474,47.67,0.463375,0.22782917929281707,1.0,0.7634166666666675,0.4240904534315423,4.06,44.78545833333333,1.5694520398437128,47.0,0.4569166666666666,0.3066877873085908,1.66,0.8267916666666676,0.5702815482564111,4.5
stand_10,42.24175,2.673132918975496,45.0,0.5144166666666671,0.3698745593836091,2.12,1.1580833333333345,0.770423777134234,4.11,42.59808333333333,2.3493156827312323,45.8,0.4067083333333335,0.39769471472818596,2.12,1.2944583333333342,0.995852759157646,6.65
stand_11,43.47220833333334,1.87565813228823,45.67,0.34004166666666663,0.315319454029181,1.3,0.8236666666666679,0.6580514323266599,5.7,41.56170833333333,2.0765547178354273,48.25,0.5413333333333333,0.3534739332374903,2.12,1.1311666666666684,0.9892981184077319,6.85
stand_12,42.58404166666666,1.2793712164785058,45.25,0.37174999999999975,0.34068147923373654,2.6,0.7826666666666678,0.3845700383095536,2.36,43.334666666666664,1.610902672356322,45.5,0.33399999999999985,0.28337889534395455,1.22,0.7142916666666675,0.5253286661335411,4.0
stand_13,43.43745833333333,1.8092837640465362,47.33,0.39316666666666655,0.3451892533691657,1.8,0.7568750000000011,0.5593127741154347,3.77,41.91170833333333,2.6362811384475733,45.0,0.4451666666666662,0.3891875097079707,2.17,0.647208333333334,0.5713832206737466,3.74
stand_14,42.08475,2.690071459286349,45.33,0.3130833333333332,0.34212429127935884,2.83,0.5743750000000005,0.5487342081295348,3.67,44.29029166666666,1.6609850880401578,45.75,0.2294583333333332,0.31003326575012524,1.5,0.7165416666666672,0.5779433655830637,3.83
stand_15,43.413041666666665,2.584611913426555,46.25,0.2451666666666666,0.32156516634488874,1.3,1.1793750000000003,0.8932855209654565,4.72,45.46933333333333,1.7066653645828387,47.33,0.4480416666666668,0.3646330165390242,4.5,1.1307916666666666,0.7886982802923583,5.91
wa_4,35.23608333333333,5.057972586678102,45.67,4.295416666666667,2.710287358611307,15.08,3.1065833333333344,1.7421664461471214,7.89,35.15058333333333,4.434886571848302,46.0,4.346624999999998,2.5433320534488653,16.2,3.377333333333334,1.789178410984198,8.5
wa_5,34.966249999999995,4.733013505263235,46.0,4.207958333333336,2.3319402193326364,12.68,3.146333333333333,1.6382176932873485,8.83,34.56041666666667,4.752584303960138,46.25,4.239625,2.2275260365984164,12.09,3.430208333333334,1.6479787157694148,9.39
wa_6,34.73704166666667,4.276716665572688,45.67,4.217333333333333,2.3377585493090396,12.21,3.3341250000000007,1.7375725098502934,9.19,35.13458333333334,4.989013686716872,51.0,4.014166666666666,2.333172488977055,11.41,3.225916666666666,1.6653256787960307,10.21
wa_7,33.88645833333333,5.143775573746228,45.0,4.332208333333335,2.453111361904542,12.44,3.2484166666666683,1.5655565646258958,7.89,34.779625,4.714249327380903,47.67,4.461708333333335,2.682846486518218,12.48,3.2747500000000005,1.6705927905885762,8.01
wa_8,34.83645833333333,4.869091780623068,44.0,4.257750000000003,2.512633339162547,12.38,3.1696250000000012,1.6476397043007567,8.86,34.36329166666667,4.588341921458645,45.75,4.5399166666666675,2.5616084107314814,15.37,3.409458333333332,1.7070893645837748,8.84
wa_9,34.32933333333334,4.549836676149747,42.75,4.315916666666666,2.4702658525243466,14.5,3.381250000000001,1.725690238473632,9.42,34.12241666666667,4.338106907528172,43.67,4.393083333333332,2.5713758412328356,17.24,3.5778333333333334,1.7941124929552108,9.12
wa_10,33.907291666666666,4.71660298098801,43.75,4.6198749999999995,2.525473646491156,13.5,3.454333333333332,1.6456842167146326,8.32,34.59975,5.1416814179164465,51.25,4.295916666666666,2.233944293396147,13.55,3.5471666666666652,1.7400183634549349,8.08
wa_11,33.3345,4.874433145887208,45.0,4.408083333333331,2.196206046164749,11.78,3.2291666666666674,1.6373100622326928,8.29,33.83925,4.411903290931882,45.33,4.745041666666669,2.694218822036942,14.67,3.2902916666666657,1.6460233296049924,8.32
wa_12,34.03675,4.872880148477141,44.5,4.778291666666664,2.762730139286936,13.47,3.5437083333333304,1.7030983328366625,8.41,34.60875,4.621400295405773,45.5,4.134374999999998,2.387460009741976,12.5,3.3214166666666656,1.7583785302909056,9.67
wa_13,34.033875,4.758757219820808,43.33,4.574624999999999,2.3918044922358304,12.47,3.2440416666666674,1.6197672486129666,10.0,35.05858333333333,4.880649571939431,46.0,4.169291666666665,2.3159288146243293,12.28,3.4322083333333344,1.6910504392875993,8.64
wa_14,34.920791666666666,4.272282443681756,44.0,4.17795833333333,2.3417631840073203,14.82,3.430625000000003,1.781927645819896,9.18,34.82566666666666,4.785599254341303,46.25,4.583208333333333,2.514202860423404,12.26,3.4186666666666645,1.5985356443994678,9.51
wa_15,34.91679166666667,4.634209175733125,44.0,4.2623333333333315,2.3968784558126073,13.86,3.4399166666666683,1.7374195726044932,9.0,34.029583333333335,4.923608891032567,43.33,4.45629166666667,2.3816336993237504,12.97,3.2410000000000005,1.6575777053798666,8.26
