,avg_rss12_mean,avg_rss12_std,avg_rss12_min,avg_rss12_q1,avg_rss12_median,avg_rss12_q3,avg_rss12_max,var_rss12_mean,var_rss12_std,var_rss12_min,var_rss12_q1,var_rss12_median,var_rss12_q3,var_rss12_max,avg_rss13_mean,avg_rss13_std,avg_rss13_min,avg_rss13_q1,avg_rss13_median,avg_rss13_q3,avg_rss13_max,var_rss13_mean,var_rss13_std,var_rss13_min,var_rss13_q1,var_rss13_median,var_rss13_q3,var_rss13_max,avg_rss23_mean,avg_rss23_std,avg_rss23_min,avg_rss23_q1,avg_rss23_median,avg_rss23_q3,avg_rss23_max,var_rss23_mean,var_rss23_std,var_rss23_min,var_rss23_q1,var_rss23_median,var_rss23_q3,var_rss23_max
cy_4,36.228395833333316,3.5286168802021756,19.0,34.0,36.0,39.0,44.0,2.831687499999997,1.8866893014203339,0.0,1.5,2.285,3.8449999999999998,12.28,15.424500000000002,3.2498343237039022,5.5,13.33,15.25,17.5,25.25,3.1191249999999986,1.6835132221966842,0.0,1.79,2.94,4.217499999999999,9.5,15.872374999999998,3.1666545153229846,2.5,14.0,16.0,18.0625,24.5,3.4806874999999957,1.827769025304975,0.0,2.1025,3.34,4.55,9.98
cy_5,36.68729166666666,3.5294041555847047,26.5,34.25,36.0,39.3725,44.33,2.9730416666666644,2.0739025365327275,0.0,1.41,2.36,4.262499999999999,12.89,18.39679166666667,3.771097883467691,8.33,15.67,18.0,20.75,28.25,2.976604166666667,1.861730156314391,0.0,1.48,2.685,4.09,9.63,16.48,2.9782376989138597,3.0,14.67,16.75,18.5,24.67,3.0733124999999952,1.6296748610265177,0.0,1.9124999999999999,2.69,4.0875,8.19
cy_6,37.1143125,3.71038461818647,25.33,34.5,36.25,40.25,45.0,2.7299999999999986,1.9243659042946304,0.0,1.3,2.24,3.7175000000000002,10.84,16.66391666666667,3.612220685553591,3.0,14.25,16.67,18.8125,27.25,3.138541666666664,1.8476803598695677,0.0,1.79,2.87,4.11,10.57,16.48754166666667,2.8478760716270393,6.75,14.75,16.67,18.5,23.33,3.076354166666665,1.8245342127542556,0.0,1.7,2.77,4.0375,9.5
cy_7,36.863375,3.555786994948472,26.75,34.5,36.33,39.75,44.75,2.757312499999998,2.115957678186599,0.0,1.22,2.23,4.0225,11.68,16.494750000000003,3.588182520383051,7.0,14.0,16.0,19.0,27.0,3.013604166666663,1.7745307032238307,0.0,1.56,2.86,4.0675,9.01,16.581145833333334,2.6559055675416396,8.0,15.0,16.75,18.67,23.0,2.7733124999999985,1.5699188396538877,0.0,1.64,2.59,3.6325000000000003,8.81
cy_8,36.95745833333332,3.4348626794462622,26.25,34.5,36.29,40.25,44.25,2.4200833333333316,1.724901374849458,0.0,1.25,2.05,3.35,8.64,15.313416666666667,3.034030094638235,7.0,13.25,15.25,17.33,26.5,2.7841458333333318,1.542971572340688,0.0,1.58,2.565,3.77,8.06,15.989166666666666,2.8516731588927975,2.0,14.0,16.33,18.25,22.25,2.934625,1.6313801248302064,0.0,1.66,2.525,4.03,8.34
cy_9,37.144833333333324,3.7589039141812752,27.75,34.0,36.33,40.5,44.67,2.4190625,1.6431745829561357,0.0,1.25,1.88,3.3675,10.76,14.998479166666668,3.2895371522410652,0.0,13.0,15.0,17.25,24.75,2.849624999999999,1.7151848732044337,0.0,1.58,2.5,3.9,9.0,16.773520833333336,2.6892905793209434,0.0,15.0,17.0,18.75,23.0,2.8224374999999995,1.6371826761493382,0.0,1.58,2.59,3.74,8.75
cy_10,36.81952083333333,3.9004593674626125,27.0,33.75,36.0,40.25,45.0,2.6001458333333343,1.821403878124711,0.0,1.3,2.12,3.87,10.47,15.302625,3.5049325494806864,5.67,12.75,15.0,17.67,25.0,2.937020833333332,1.661464152814942,0.0,1.7,2.62,3.87,10.61,17.296270833333335,2.781030442687726,8.67,15.5,17.415,19.27,24.67,2.8875624999999974,1.7230941776775113,0.0,1.56,2.525,3.77,8.99
cy_11,36.54166666666667,4.018922431286609,27.0,33.25,36.0,39.8125,44.33,2.8479583333333305,1.8923969398096614,0.0,1.3,2.45,4.15,10.43,16.1560625,3.439020184452396,6.0,14.0,16.0,18.05,27.67,3.0554583333333287,1.7423892956370137,0.0,1.7975,2.87,4.03,9.63,17.062624999999997,3.0881407924963127,7.67,15.0,16.75,19.5,24.5,3.225458333333331,1.7697578353421826,0.0,1.885,2.87,4.262499999999999,9.18
cy_12,35.75235416666666,4.614801691849544,18.5,33.0,36.0,39.33,44.25,3.3281041666666638,2.140576071562381,0.0,1.775,2.83,4.33,12.6,16.05502083333333,3.4461458305126986,5.0,13.73,16.0,18.33,27.0,2.871124999999999,1.7048196400848994,0.0,1.5,2.6500000000000004,3.7800000000000002,9.46,16.001270833333333,3.120056649555187,4.0,14.0,16.25,18.0625,24.33,3.0696666666666643,1.748325621096779,0.0,1.7975,2.77,4.06,9.39
cy_13,35.879875,4.614877591298847,19.0,33.0,36.0,39.5,43.75,3.4143124999999954,2.2379554553884025,0.0,1.6549999999999998,2.92,4.845000000000001,11.2,16.690375,3.0093633741269152,7.67,14.75,17.0,18.69,26.5,3.1283541666666657,1.7794697902547743,0.0,1.7225,2.87,4.3225,8.87,17.0783125,3.537634624016105,0.0,14.75,17.0,19.69,26.5,3.093020833333329,1.626034098325704,0.0,1.89,2.9299999999999997,4.06,8.5
cy_14,36.24408333333334,3.822015775208542,23.33,33.457499999999996,36.75,39.25,43.5,2.736020833333332,2.092001618548048,0.0,1.22,2.17,3.74,9.71,18.43570833333333,4.021628986615336,7.0,15.67,18.33,21.0,28.5,3.1297916666666663,1.8104992905086974,0.0,1.775,2.895,4.24,9.78,18.497145833333335,3.6177017208018154,7.67,15.75,18.5,21.0,27.0,3.5304999999999986,1.9636853852579268,0.0,2.17,3.11,4.617500000000001,11.15
cy_15,37.17704166666666,3.5813010660968514,24.25,34.5,36.25,40.25,45.0,2.3742083333333324,1.6017992878617135,0.0,1.3,1.92,3.13,8.58,16.531083333333335,3.430906450846584,5.5,14.25,16.67,19.0,26.75,2.910604166666665,1.6001370797174124,0.0,1.64,2.62,3.9175,8.05,19.607250000000004,2.890347253230807,7.0,17.95,20.0,21.75,25.5,2.921729166666664,1.852599969997402,0.0,1.5,2.5,3.9,9.34
ly_1,27.716375000000003,1.4422534360867243,23.5,27.0,27.5,29.0,30.0,0.363687500000001,0.3948170822604771,0.0,0.0,0.43,0.5,1.79,6.078562500000004,3.4689942193363685,0.0,3.5,6.25,8.33,13.25,0.8710208333333349,0.7773999808682783,0.0,0.43,0.82,1.2625,5.02,8.337437500000002,4.07451121551468,0.0,5.5,8.75,10.75,21.0,0.7342708333333342,0.6136882318503594,0.0,0.43,0.71,1.0,4.5
ly_2,44.182937499999994,7.4956151633252155,24.75,48.0,48.0,48.0,48.33,0.10187499999999997,0.3467556535927546,0.0,0.0,0.0,0.0,3.11,6.679958333333333,1.9364916726545076,1.0,5.67,6.25,7.5,16.5,0.5841041666666685,0.7499453213076812,0.0,0.0,0.43,0.71,5.91,4.376291666666665,3.274539218940782,0.0,2.0,3.33,5.5425,12.75,0.692770833333335,0.6757805581857542,0.0,0.3225,0.5,0.94,3.91
ly_3,48.00416666666667,0.03203816443735438,48.0,48.0,48.0,48.0,48.25,0.0071666666666666675,0.055105642832249564,0.0,0.0,0.0,0.0,0.43,4.9005625,2.566428982167924,0.0,3.0,5.5,6.25,13.0,0.3973125000000009,0.4471268358744318,0.0,0.0,0.43,0.5,2.86,7.624895833333335,3.268502301669072,0.0,4.67,9.0,10.0,12.0,0.6412291666666677,0.38837215754894294,0.0,0.45999999999999996,0.5,0.83,2.5
ly_4,42.7060625,3.5374762060546647,34.0,40.25,40.5,48.0,51.0,0.519812500000001,0.48408595642157676,0.0,0.0,0.5,0.83,4.85,10.909958333333334,3.2084105935622538,0.0,9.0,12.0,12.0,23.0,0.33206250000000054,0.5996948739199327,0.0,0.0,0.0,0.47,5.72,4.3039791666666645,4.253807455695276,0.0,1.0,2.25,8.0,22.25,0.5493125000000003,0.6484026834667878,0.0,0.0,0.47,0.83,4.97
ly_5,39.66783333333331,0.28015782409603934,39.0,39.5,39.5,39.75,41.0,0.5836041666666673,0.19458464297354228,0.0,0.5,0.5,0.71,1.0,10.834208333333333,2.4695076124497195,0.0,10.25,12.0,12.0,15.0,0.3474375000000007,0.40914480830743444,0.0,0.0,0.43,0.5,2.49,5.779479166666667,4.097351446021736,0.0,1.6275,5.75,9.33,14.5,0.6359375000000005,0.608399416459128,0.0,0.0,0.5,0.83,3.49
ly_6,39.506187499999996,1.81749840875149,0.0,39.5,39.5,39.67,40.67,0.49647916666666647,0.1455459077270438,0.0,0.47,0.5,0.5,1.0,6.550083333333335,2.6070814102116424,0.0,4.5,7.0,8.75,13.25,0.8238541666666684,0.7601938685150689,0.0,0.43,0.5,1.12,4.03,11.765624999999998,2.336680287316966,0.0,11.33,12.0,13.0,16.25,0.622916666666668,0.4988887791060089,0.0,0.43,0.5,0.87,3.19
ly_7,39.433791666666686,0.20855752307566022,39.0,39.33,39.5,39.5,40.0,0.4221041666666674,0.16037908375010534,0.0,0.43,0.47,0.5,1.0,5.841145833333331,3.4978582978443953,0.0,3.0,6.0,8.75,12.2,0.3990208333333342,0.4386667021289795,0.0,0.0,0.43,0.5,3.27,10.897458333333335,3.3216216765210613,0.0,9.0,11.5,12.33,18.0,0.5827083333333345,0.43844163006998704,0.0,0.43,0.5,0.83,4.06
ly_8,39.34710416666667,0.23140523246243888,39.0,39.25,39.33,39.5,40.0,0.3663958333333341,0.19581458141761338,0.0,0.43,0.47,0.5,0.5,4.382208333333332,2.456798950637854,0.0,2.5,4.5,6.0,11.33,0.5029166666666677,0.5046723583506716,0.0,0.0,0.47,0.71,3.54,16.212312500000003,2.223355216758035,7.0,15.75,16.75,17.67,18.67,0.5884583333333343,0.4234347553014702,0.0,0.43,0.5,0.83,3.5
ly_9,47.32512499999999,5.961280283196093,39.0,42.0,42.67,54.0,56.25,0.2743125000000004,0.5627289107405945,0.0,0.0,0.0,0.47,8.49,9.5319375,3.987097588185423,0.0,6.0,10.75,12.75,18.25,0.7857291666666679,0.8116360764841972,0.0,0.43,0.5,1.0,5.72,14.299125,4.142132425235064,0.0,11.75,14.0,18.0,21.0,0.7661666666666685,0.7239530582982194,0.0,0.43,0.5,1.0,5.72
ly_10,27.716375000000003,1.4422534360867243,23.5,27.0,27.5,29.0,30.0,0.363687500000001,0.3948170822604771,0.0,0.0,0.43,0.5,1.79,6.07810416666667,3.4686550415196753,0.0,3.5,6.25,8.33,13.25,0.8700416666666683,0.7774195836973832,0.0,0.43,0.82,1.2625,5.02,8.337020833333336,4.074453545027606,0.0,5.5,8.75,10.75,21.0,0.7353958333333342,0.6128337355731223,0.0,0.43,0.71,1.0,4.5
ly_11,48.00416666666667,0.03203816443735438,48.0,48.0,48.0,48.0,48.25,0.0071666666666666675,0.055105642832249564,0.0,0.0,0.0,0.0,0.43,4.9005625,2.566428982167924,0.0,3.0,5.5,6.25,13.0,0.3973125000000009,0.4471268358744318,0.0,0.0,0.43,0.5,2.86,7.624895833333335,3.268502301669072,0.0,4.67,9.0,10.0,12.0,0.6412291666666677,0.38837215754894294,0.0,0.45999999999999996,0.5,0.83,2.5
ly_12,39.66783333333331,0.28015782409603934,39.0,39.5,39.5,39.75,41.0,0.5836041666666673,0.19458464297354228,0.0,0.5,0.5,0.71,1.0,10.834208333333333,2.4695076124497195,0.0,10.25,12.0,12.0,15.0,0.3474375000000007,0.40914480830743444,0.0,0.0,0.43,0.5,2.49,5.779479166666667,4.097351446021736,0.0,1.6275,5.75,9.33,14.5,0.6359375000000005,0.608399416459128,0.0,0.0,0.5,0.83,3.49
ly_13,39.433791666666686,0.20855752307566022,39.0,39.33,39.5,39.5,40.0,0.4221041666666674,0.16037908375010534,0.0,0.43,0.47,0.5,1.0,5.841145833333331,3.4978582978443953,0.0,3.0,6.0,8.75,12.2,0.3990208333333342,0.4386667021289795,0.0,0.0,0.43,0.5,3.27,10.897458333333335,3.3216216765210613,0.0,9.0,11.5,12.33,18.0,0.5827083333333345,0.43844163006998704,0.0,0.43,0.5,0.83,4.06
ly_14,47.32512499999999,5.961280283196093,39.0,42.0,42.67,54.0,56.25,0.2743125000000004,0.5627289107405945,0.0,0.0,0.0,0.47,8.49,9.5319375,3.987097588185423,0.0,6.0,10.75,12.75,18.25,0.7857291666666679,0.8116360764841972,0.0,0.43,0.5,1.0,5.72,14.299125,4.142132425235064,0.0,11.75,14.0,18.0,21.0,0.7661666666666685,0.7239530582982194,0.0,0.43,0.5,1.0,5.72
ly_15,27.716375000000003,1.4422534360867243,23.5,27.0,27.5,29.0,30.0,0.363687500000001,0.3948170822604771,0.0,0.0,0.43,0.5,1.79,6.078562500000004,3.4689942193363685,0.0,3.5,6.25,8.33,13.25,0.8710208333333349,0.7773999808682783,0.0,0.43,0.82,1.2625,5.02,8.337437500000002,4.07451121551468,0.0,5.5,8.75,10.75,21.0,0.7342708333333342,0.6136882318503594,0.0,0.43,0.71,1.0,4.5
sit_1,42.36356250000002,2.0682469698864967,33.25,42.0,43.0,43.5,48.0,0.49256250000000085,0.4035809131969309,0.0,0.43,0.5,0.5,4.44,17.119291666666665,3.1410104883003944,3.0,15.0,18.0,19.33,22.5,0.6418541666666686,0.7609581502647951,0.0,0.0,0.44999999999999996,0.87,5.36,13.381770833333333,4.956821325297295,1.0,10.1875,13.125,17.69,28.0,1.034020833333335,0.9856273394009873,0.0,0.47,0.83,1.25,6.02
sit_2,45.917666666666676,1.0890266733820209,37.0,45.0,45.635000000000005,46.5,50.75,0.324541666666667,0.3658196367214267,0.0,0.0,0.43,0.5,4.87,16.87154166666667,5.359859091089965,0.0,15.0,18.75,21.0,24.0,0.696375000000002,0.8572306877283934,0.0,0.0,0.47,0.87,8.5,18.442791666666665,3.585510815238668,2.0,16.5,19.33,21.0,24.0,0.9046041666666687,0.8961713096649145,0.0,0.43,0.71,1.12,7.22
sit_3,45.23966666666667,0.429915141082129,44.5,45.0,45.0,45.33,46.75,0.17295833333333344,0.2511759365039502,0.0,0.0,0.0,0.43,1.0,12.8133125,4.191912990022405,2.0,10.0,13.0,15.25,23.75,1.1086875000000023,1.0152709492887735,0.0,0.43,0.83,1.48,6.36,19.330666666666666,2.945840061402272,4.75,17.6275,20.0,21.0,26.75,0.8372500000000016,0.835344452849275,0.0,0.43,0.71,1.12,8.2
sit_4,44.753958333333344,0.5203088033753298,42.5,44.75,45.0,45.0,46.0,0.15391666666666676,0.2588154994772511,0.0,0.0,0.0,0.43,1.12,18.579604166666666,4.128090143816291,3.67,17.0,19.25,21.0,27.25,0.6253125000000018,0.6756578069387218,0.0,0.43,0.47,0.83,5.17,19.265083333333333,4.127514529769534,4.33,17.5,19.0,21.69,30.75,0.7640833333333347,0.6520908985823358,0.0,0.43,0.7,1.0,4.3
sit_5,36.5600625,5.915081410791782,25.5,30.0,36.5,42.5,45.75,0.4221666666666675,0.7729921079070423,0.0,0.0,0.0,0.82,12.19,14.894833333333334,5.459764803079049,1.0,11.0,15.33,20.27,24.0,0.7405208333333354,0.8328558030710442,0.0,0.0,0.495,0.94,5.12,17.149729166666667,2.8635995949999087,5.5,15.5,18.0,19.0,27.0,0.854833333333335,0.7176026934236693,0.0,0.43,0.83,1.145,6.26
sit_6,32.90597916666666,3.5057757115733073,27.0,30.0,30.25,37.0,38.67,0.4567500000000006,0.5387833855404663,0.0,0.0,0.0,1.0,2.49,16.305916666666665,5.164882745207937,2.5,12.0,18.5,21.0,23.75,0.6647916666666684,0.7681137310952126,0.0,0.0,0.47,0.87,5.12,18.087229166666667,3.736306722195168,2.0,16.5,19.25,20.75,23.5,0.7913541666666682,0.7557388230515628,0.0,0.43,0.71,1.0,5.12
sit_7,38.888374999999996,3.6429012195511334,27.5,36.25,36.75,42.0,50.75,0.3834375000000005,0.48893738498963224,0.0,0.0,0.43,0.5,6.06,14.854166666666666,3.926922296093297,1.5,12.0,15.0,18.0,23.25,0.6542708333333354,0.7082970031413471,0.0,0.0,0.47,0.87,6.02,16.522020833333332,4.97853000828622,0.0,14.0,17.75,20.75,23.75,0.8402083333333347,0.7506361660569144,0.0,0.43,0.82,1.09,5.17
sit_8,42.821983298538626,0.8918180104355456,42.0,42.0,42.5,43.5,45.0,0.3356784968684767,0.26035682984371905,0.0,0.0,0.43,0.5,1.12,17.19970772442589,3.898005862641981,0.0,16.0,18.0,20.0,23.0,0.5311899791231749,0.7639262457991036,0.0,0.0,0.43,0.71,5.45,16.025657620041752,4.112285493852429,1.0,13.25,17.0,19.0,23.0,0.8560125260960343,0.7648005235660815,0.0,0.43,0.82,1.09,6.36
sit_9,43.19085416666667,1.2303450555530067,41.75,42.0,42.5,44.5,46.5,0.2662708333333335,0.2715878646954358,0.0,0.0,0.43,0.5,1.5,14.8583125,4.727836222945086,0.0,12.25,15.0,18.424999999999997,21.67,0.5102083333333345,0.5426971595913612,0.0,0.0,0.47,0.72,4.64,16.043166666666668,3.027168967114781,5.67,14.0,16.0,18.33,22.0,0.8062291666666684,0.6454761068974632,0.0,0.43,0.82,1.09,5.45
sit_10,40.21927083333332,2.741217231412845,35.25,37.75,39.25,42.5,48.5,0.617479166666668,0.48541665763198905,0.0,0.43,0.5,1.0,3.28,14.851229166666666,4.929223743295169,0.0,11.9375,16.0,18.25,23.5,0.8722291666666684,0.9888646352198296,0.0,0.0,0.495,1.22,5.12,15.167270833333333,5.31375265468192,0.0,11.67,15.25,19.75,27.33,1.057729166666668,1.025925342068449,0.0,0.47,0.83,1.3,6.36
sit_11,43.88483333333333,3.1988938545741465,28.5,42.0,45.25,46.5,48.25,0.5173541666666679,0.3940643626405087,0.0,0.43,0.5,0.71,3.28,14.997374999999996,5.621780728978862,0.0,11.1875,15.0,18.75,24.25,1.0476875000000019,1.0970281863275329,0.0,0.43,0.82,1.48,6.98,14.92054166666667,5.258598497803336,1.5,10.5,15.875,19.25,25.0,1.354916666666669,1.150883110739724,0.0,0.5,1.09,1.7,7.0
sit_12,42.11158333333333,1.1222446161275543,39.5,41.5,42.0,42.0,45.0,0.3419375000000001,0.2958046883031582,0.0,0.0,0.47,0.5,1.09,11.442250000000001,4.5396651697963515,0.0,9.0,12.0,14.75,21.8,0.8893958333333353,1.0721678474442569,0.0,0.43,0.5,0.955,7.31,12.97391666666667,4.847545283427295,1.0,9.0,13.29,17.25,23.0,0.9611666666666686,0.8827844856791934,0.0,0.47,0.82,1.22,6.36
sit_13,42.28266666666666,1.3561489029244784,39.67,41.5,41.5,44.33,44.75,0.4983541666666669,0.14798436829700853,0.0,0.47,0.5,0.5,1.0,9.469541666666666,5.313779640636361,0.0,5.0,10.0,14.0,22.75,0.8996458333333345,0.8361940817552831,0.0,0.43,0.82,1.25,5.68,12.537187499999998,6.0397968801176845,0.0,8.5,12.0,18.25,23.25,0.8690000000000008,0.7942125207925874,0.0,0.47,0.82,1.0,7.85
sit_14,42.36018749999998,1.0173715397767942,40.0,41.5,42.0,43.25,44.67,0.4825000000000015,0.24638852832336394,0.0,0.43,0.5,0.5,1.0,12.884541666666669,4.01288386951872,2.0,11.4575,12.75,15.0,23.5,0.6200625000000008,0.7479470833617813,0.0,0.0,0.47,0.83,5.93,15.260437500000002,6.46678554283702,2.5,9.75,13.25,22.0,26.67,0.7198125000000014,0.6085464442351377,0.0,0.43,0.5,0.83,4.64
sit_15,42.728854166666686,2.046361744138614,29.25,41.33,43.25,44.5,46.0,0.5553333333333339,0.3825438058523024,0.0,0.47,0.5,0.5,4.72,15.823645833333336,4.879742951534587,0.0,12.4575,16.5,20.0,24.0,0.7582708333333349,0.9077148632976645,0.0,0.0,0.47,1.0,6.12,16.408937499999997,4.293969300678219,2.0,13.73,17.67,19.0,24.0,0.892083333333335,0.8511749421741147,0.0,0.43,0.71,1.22,5.1
