,avg_rss12_mean,avg_rss12_std,avg_rss12_max,var_rss12_mean,var_rss12_std,var_rss12_max,var_rss23_mean,var_rss23_std,var_rss23_max,Output
sit_15,42.72885417,2.046361744,46,0.555333333,0.382543806,4.72,0.892083333,0.851174942,5.1,0
stand_4,42.64852083,2.395338048,46.67,0.402833333,0.413718679,2.95,0.917354167,0.709637709,4.64,0
stand_5,43.72002083,2.38410459,47.5,0.366708333,0.374116633,1.92,1.0396875,0.916657326,6.18,0
stand_6,44.47114583,1.77255337,47.75,0.290479167,0.392914249,2.18,0.927375,0.756435842,4.32,0
stand_7,46.2249375,1.748315024,48,0.312354167,0.464541078,4.5,0.882583333,0.668423498,6,0
stand_8,46.93220833,1.83266525,48,0.429666667,0.367267023,4.6,0.991125,0.855329104,6.58,0
stand_9,45.399625,1.32812104,47.67,0.460145833,0.269888594,1.66,0.795104167,0.503006815,4.5,0
stand_10,42.41991667,2.520129233,45.8,0.4605625,0.38740491,2.12,1.226270833,0.891987793,6.65,0
stand_11,42.51695833,2.195750574,48.25,0.4406875,0.349430414,2.12,0.977416667,0.853279559,6.85,0
stand_12,42.95935417,1.50087817,45.5,0.352875,0.313585343,2.6,0.748479167,0.461151753,4,0
stand_13,42.67458333,2.384169571,47.33,0.419166667,0.368383215,2.17,0.702041667,0.567450805,3.77,0
stand_14,43.18752083,2.491161726,45.75,0.271270833,0.328807311,2.83,0.645458333,0.56741898,3.83,0
stand_15,44.4411875,2.417796502,47.33,0.346604167,0.358113139,4.5,1.155083333,0.842087322,5.91,0
wa_4,35.19333333,4.751867948,46,4.321020833,2.625516114,16.2,3.241958333,1.769182465,8.5,0
wa_5,34.76333333,4.742208084,46.25,4.223791667,2.278004428,12.68,3.288270833,1.647527701,9.39,0
wa_6,34.9358125,4.645944487,51,4.11575,2.335242621,12.21,3.280020833,1.700917657,10.21,0
wa_7,34.33304167,4.948769856,47.67,4.396958333,2.568679977,12.48,3.261583333,1.617289671,8.01,0
wa_8,34.599875,4.73178966,45.75,4.398833333,2.538520909,15.37,3.289541667,1.680169553,8.86,0
wa_9,34.225875,4.44179759,43.67,4.3545,2.518990619,17.24,3.479541667,1.76114625,9.42,0
wa_10,34.25352083,4.940741146,51.25,4.457895833,2.387192328,13.55,3.50075,1.692377563,8.32,0
wa_11,33.586875,4.65093546,45.33,4.5765625,2.461077139,14.67,3.259729167,1.640243289,8.32,0
wa_12,34.32275,4.752477031,45.5,4.456333333,2.599284126,13.47,3.4325625,1.732727193,9.67,0
wa_13,34.54622917,4.842293508,46,4.371958333,2.360448437,12.47,3.338125,1.656742353,10,0
wa_14,34.87322917,4.531720098,46.25,4.380583333,2.435437415,14.82,3.424645833,1.690959839,9.51,0
wa_15,34.4731875,4.796705424,44,4.3593125,2.388746438,13.86,3.340458333,1.699114161,9,0
